209,Pendidikan Agama dan Budi Pekerti,1,29
210,Pendidikan Pancasila dan Kewarganegaraan,1,29
211,Bahasa Indonesia,1,29
212,Matematika,1,29
213,Bahasa Inggris,1,29
214,Pendidikan Agama dan Budi Pekerti,1,30
215,Pendidikan Pancasila dan Kewarganegaraan,1,30
216,Bahasa Indonesia,1,30
217,Matematika,1,30
218,Bahasa Inggris,1,30
219,Pendidikan Agama dan Budi Pekerti,1,31
220,Pendidikan Pancasila dan Kewarganegaraan,1,31
221,Bahasa Indonesia,1,31
222,Matematika,1,31
223,Bahasa Inggris,1,31
224,Pendidikan Agama dan Budi Pekerti,1,32
225,Pendidikan Pancasila dan Kewarganegaraan,1,32
226,Bahasa Indonesia,1,32
227,Matematika,1,32
228,Bahasa Inggris,1,32
229,Pendidikan Agama dan Budi Pekerti,1,33
230,Pendidikan Pancasila dan Kewarganegaraan,1,33
231,Bahasa Indonesia,1,33
232,Matematika,1,33
233,Bahasa Inggris,1,33
234,Pendidikan Agama dan Budi Pekerti,1,34
235,Pendidikan Pancasila dan Kewarganegaraan,1,34
236,Bahasa Indonesia,1,34
237,Matematika,1,34
238,Bahasa Inggris,1,34
239,Pendidikan Agama dan Budi Pekerti,1,35
240,Pendidikan Pancasila dan Kewarganegaraan,1,35
241,Bahasa Indonesia,1,35
242,Matematika,1,35
243,Bahasa Inggris,1,35
244,Pendidikan Agama dan Budi Pekerti,1,36
245,Pendidikan Pancasila dan Kewarganegaraan,1,36
246,Bahasa Indonesia,1,36
247,Matematika,1,36
248,Bahasa Inggris,1,36
249,Pendidikan Agama dan Budi Pekerti,1,37
250,Pendidikan Pancasila dan Kewarganegaraan,1,37
251,Bahasa Indonesia,1,37
252,Matematika,1,37
253,Bahasa Inggris,1,37
254,Pendidikan Agama dan Budi Pekerti,1,38
255,Pendidikan Pancasila dan Kewarganegaraan,1,38
256,Bahasa Indonesia,1,38
257,Matematika,1,38
258,Bahasa Inggris,1,38
259,Pendidikan Agama dan Budi Pekerti,1,39
260,Pendidikan Pancasila dan Kewarganegaraan,1,39
261,Bahasa Indonesia,1,39
262,Matematika,1,39
263,Bahasa Inggris,1,39
264,Pendidikan Agama dan Budi Pekerti,1,40
265,Pendidikan Pancasila dan Kewarganegaraan,1,40
266,Bahasa Indonesia,1,40
267,Matematika,1,40
268,Bahasa Inggris,1,40
472,Seni Budaya,1,22
269,Pendidikan Agama dan Budi Pekerti,1,41
270,Pendidikan Pancasila dan Kewarganegaraan,1,41
271,Bahasa Indonesia,1,41
272,Matematika,1,41
273,Bahasa Inggris,1,41
274,Pendidikan Agama dan Budi Pekerti,1,42
275,Pendidikan Pancasila dan Kewarganegaraan,1,42
276,Bahasa Indonesia,1,42
277,Matematika,1,42
278,Bahasa Inggris,1,42
279,Pendidikan Agama dan Budi Pekerti,1,43
280,Pendidikan Pancasila dan Kewarganegaraan,1,43
281,Bahasa Indonesia,1,43
282,Matematika,1,43
283,Bahasa Inggris,1,43
284,Pendidikan Agama dan Budi Pekerti,1,44
285,Pendidikan Pancasila dan Kewarganegaraan,1,44
286,Bahasa Indonesia,1,44
287,Matematika,1,44
288,Bahasa Inggris,1,44
289,Pendidikan Agama dan Budi Pekerti,1,45
290,Pendidikan Pancasila dan Kewarganegaraan,1,45
291,Bahasa Indonesia,1,45
292,Matematika,1,45
293,Bahasa Inggris,1,45
294,Pendidikan Agama dan Budi Pekerti,1,46
295,Pendidikan Pancasila dan Kewarganegaraan,1,46
296,Bahasa Indonesia,1,46
297,Matematika,1,46
298,Bahasa Inggris,1,46
299,Pendidikan Agama dan Budi Pekerti,1,47
300,Pendidikan Pancasila dan Kewarganegaraan,1,47
301,Bahasa Indonesia,1,47
302,Matematika,1,47
303,Bahasa Inggris,1,47
304,Pendidikan Agama dan Budi Pekerti,1,48
305,Pendidikan Pancasila dan Kewarganegaraan,1,48
306,Bahasa Indonesia,1,48
307,Matematika,1,48
308,Bahasa Inggris,1,48
309,Pendidikan Agama dan Budi Pekerti,1,49
310,Pendidikan Pancasila dan Kewarganegaraan,1,49
311,Bahasa Indonesia,1,49
312,Matematika,1,49
313,Bahasa Inggris,1,49
314,Pendidikan Agama dan Budi Pekerti,1,50
315,Pendidikan Pancasila dan Kewarganegaraan,1,50
316,Bahasa Indonesia,1,50
317,Matematika,1,50
318,Bahasa Inggris,1,50
319,Pendidikan Agama dan Budi Pekerti,1,51
320,Pendidikan Pancasila dan Kewarganegaraan,1,51
321,Bahasa Indonesia,1,51
322,Matematika,1,51
323,Bahasa Inggris,1,51
324,Pendidikan Agama dan Budi Pekerti,1,52
325,Pendidikan Pancasila dan Kewarganegaraan,1,52
326,Bahasa Indonesia,1,52
327,Matematika,1,52
328,Bahasa Inggris,1,52
329,Pendidikan Agama dan Budi Pekerti,1,53
330,Pendidikan Pancasila dan Kewarganegaraan,1,53
331,Bahasa Indonesia,1,53
332,Matematika,1,53
333,Bahasa Inggris,1,53
334,Pendidikan Agama dan Budi Pekerti,1,54
335,Pendidikan Pancasila dan Kewarganegaraan,1,54
336,Bahasa Indonesia,1,54
337,Matematika,1,54
338,Bahasa Inggris,1,54
339,Pendidikan Agama dan Budi Pekerti,1,55
340,Pendidikan Pancasila dan Kewarganegaraan,1,55
341,Bahasa Indonesia,1,55
342,Matematika,1,55
343,Bahasa Inggris,1,55
344,Pendidikan Agama dan Budi Pekerti,1,56
345,Pendidikan Pancasila dan Kewarganegaraan,1,56
346,Bahasa Indonesia,1,56
347,Matematika,1,56
348,Bahasa Inggris,1,56
349,Pendidikan Agama dan Budi Pekerti,1,57
350,Pendidikan Pancasila dan Kewarganegaraan,1,57
351,Bahasa Indonesia,1,57
352,Matematika,1,57
353,Bahasa Inggris,1,57
354,Pendidikan Agama dan Budi Pekerti,1,58
355,Pendidikan Pancasila dan Kewarganegaraan,1,58
356,Bahasa Indonesia,1,58
357,Matematika,1,58
358,Bahasa Inggris,1,58
359,Pendidikan Agama dan Budi Pekerti,1,59
360,Pendidikan Pancasila dan Kewarganegaraan,1,59
361,Bahasa Indonesia,1,59
362,Matematika,1,59
363,Bahasa Inggris,1,59
364,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,4
365,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,5
366,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,6
367,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,7
473,Seni Budaya,1,23
368,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,8
369,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,9
370,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,10
371,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,11
372,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,12
373,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,13
374,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,14
375,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,15
376,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,16
377,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,17
378,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,18
379,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,19
380,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,20
381,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,21
382,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,22
383,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,23
384,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,24
385,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,25
386,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,26
387,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,27
388,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,28
389,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,29
390,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,30
391,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,31
392,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,32
393,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,33
394,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,34
395,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,35
396,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,36
397,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,37
398,"Pendidikan Jasmani, Olahraga, dan Kesehatan",1,38
399,Sejarah Indonesia,1,4
400,Bahasa Jepang,1,4
401,Sejarah Indonesia,1,5
402,Bahasa Jepang,1,5
403,Sejarah Indonesia,1,6
404,Bahasa Jepang,1,6
405,Sejarah Indonesia,1,7
406,Bahasa Jepang,1,7
407,Sejarah Indonesia,1,8
408,Bahasa Jepang,1,8
409,Sejarah Indonesia,1,9
410,Bahasa Jepang,1,9
411,Sejarah Indonesia,1,10
412,Bahasa Jepang,1,10
413,Sejarah Indonesia,1,11
414,Bahasa Jepang,1,11
415,Sejarah Indonesia,1,12
416,Bahasa Jepang,1,12
417,Sejarah Indonesia,1,13
418,Bahasa Jepang,1,13
419,Sejarah Indonesia,1,14
420,Bahasa Jepang,1,14
421,Sejarah Indonesia,1,15
422,Bahasa Jepang,1,15
423,Sejarah Indonesia,1,16
424,Bahasa Jepang,1,16
425,Sejarah Indonesia,1,17
426,Bahasa Jepang,1,17
427,Sejarah Indonesia,1,18
428,Bahasa Jepang,1,18
429,Sejarah Indonesia,1,19
430,Bahasa Jepang,1,19
431,Sejarah Indonesia,1,20
432,Bahasa Jepang,1,20
433,Sejarah Indonesia,1,21
434,Bahasa Jepang,1,21
435,Sejarah Indonesia,1,22
436,Bahasa Jepang,1,22
437,Sejarah Indonesia,1,23
438,Bahasa Jepang,1,23
439,Bahasa Sunda,1,24
440,Bahasa Sunda,1,25
441,Bahasa Sunda,1,26
442,Bahasa Sunda,1,27
443,Bahasa Sunda,1,28
444,Bahasa Sunda,1,29
445,Bahasa Sunda,1,30
446,Bahasa Sunda,1,31
447,Bahasa Sunda,1,32
448,Bahasa Sunda,1,33
449,Bahasa Sunda,1,34
450,Bahasa Sunda,1,35
451,Bahasa Sunda,1,36
452,Bahasa Sunda,1,37
453,Bahasa Sunda,1,38
454,Seni Budaya,1,4
455,Seni Budaya,1,5
456,Seni Budaya,1,6
457,Seni Budaya,1,7
458,Seni Budaya,1,8
459,Seni Budaya,1,9
460,Seni Budaya,1,10
461,Seni Budaya,1,11
462,Seni Budaya,1,12
463,Seni Budaya,1,13
464,Seni Budaya,1,14
465,Seni Budaya,1,15
466,Seni Budaya,1,16
467,Seni Budaya,1,17
468,Seni Budaya,1,18
469,Seni Budaya,1,19
470,Seni Budaya,1,20
474,Simulasi dan Komunikasi Digital,2,4
475,Fisika,2,4
476,Kimia,2,4
477,Simulasi dan Komunikasi Digital,2,5
478,Fisika,2,5
479,Kimia,2,5
480,Simulasi dan Komunikasi Digital,2,6
481,Fisika,2,6
482,Kimia,2,6
483,Simulasi dan Komunikasi Digital,2,7
484,Fisika,2,7
485,Kimia,2,7
486,Simulasi dan Komunikasi Digital,2,8
487,Fisika,2,8
488,Kimia,2,8
489,Simulasi dan Komunikasi Digital,2,9
490,Fisika,2,9
491,Kimia,2,9
492,Simulasi dan Komunikasi Digital,2,10
493,Fisika,2,10
494,Kimia,2,10
495,Simulasi dan Komunikasi Digital,2,11
496,Fisika,2,11
497,Kimia,2,11
498,Simulasi dan Komunikasi Digital,2,12
499,Fisika,2,12
500,Kimia,2,12
501,Simulasi dan Komunikasi Digital,2,13
502,Fisika,2,13
503,Kimia,2,13
504,Simulasi dan Komunikasi Digital,2,14
505,Fisika,2,14
506,Kimia,2,14
507,Simulasi dan Komunikasi Digital,2,15
508,Fisika,2,15
509,Kimia,2,15
510,Simulasi dan Komunikasi Digital,2,16
511,Fisika,2,16
512,Kimia,2,16
513,Simulasi dan Komunikasi Digital,2,17
514,Fisika,2,17
515,Kimia,2,17
516,Simulasi dan Komunikasi Digital,2,18
517,Fisika,2,18
518,Kimia,2,18
519,Simulasi dan Komunikasi Digital,2,19
520,Fisika,2,19
521,Kimia,2,19
522,Simulasi dan Komunikasi Digital,2,20
523,Fisika,2,20
524,Kimia,2,20
525,Simulasi dan Komunikasi Digital,2,21
526,Fisika,2,21
527,Kimia,2,21
528,Simulasi dan Komunikasi Digital,2,22
529,Fisika,2,22
530,Kimia,2,22
531,Simulasi dan Komunikasi Digital,2,23
532,Fisika,2,23
533,Kimia,2,23
548,Perencanaan Bisnis Konstruksi Bangunan dan Properti,2,37
549,Pelaksanaan dan Pengawasan Konstruksi dan Properti,2,37
550,Estimasi Biaya Konstruksi dan Properti,2,37
551,Pengelolaan Bisnis Konstruksi dan Properti,2,37
552,Produk Kreatif dan Kewirausahaan,2,37
553,Perencanaan Bisnis Konstruksi Bangunan dan Properti,2,38
554,Pelaksanaan dan Pengawasan Konstruksi dan Properti,2,38
555,Estimasi Biaya Konstruksi dan Properti,2,38
556,Pengelolaan Bisnis Konstruksi dan Properti,2,38
557,Produk Kreatif dan Kewirausahaan,2,38
558,Perencanaan Bisnis Konstruksi Bangunan dan Properti,2,39
559,Pelaksanaan dan Pengawasan Konstruksi dan Properti,2,39
560,Estimasi Biaya Konstruksi dan Properti,2,39
561,Pengelolaan Bisnis Konstruksi dan Properti,2,39
562,Produk Kreatif dan Kewirausahaan,2,39
563,Perencanaan Bisnis Konstruksi Bangunan dan Properti,2,40
564,Pelaksanaan dan Pengawasan Konstruksi dan Properti,2,40
565,Estimasi Biaya Konstruksi dan Properti,2,40
566,Pengelolaan Bisnis Konstruksi dan Properti,2,40
567,Produk Kreatif dan Kewirausahaan,2,40
568,Gambar Teknik,2,4
569,Mekanika Teknik,2,4
570,Dasar-Dasar Konstruksi Bangunan dan Teknik Pengukuran Tanah,2,4
571,Gambar Teknik,2,5
572,Mekanika Teknik,2,5
573,Dasar-Dasar Konstruksi Bangunan dan Teknik Pengukuran Tanah,2,5
574,Gambar Teknik,2,22
575,Mekanika Teknik,2,22
576,Dasar-Dasar Konstruksi Bangunan dan Teknik Pengukuran Tanah,2,22
537,Bahasa Jepang,1,59
534,Bahasa Jepang,1,56
535,Bahasa Jepang,1,57
536,Bahasa Jepang,1,58
577,Gambar Teknik,2,23
578,Mekanika Teknik,2,23
579,Dasar-Dasar Konstruksi Bangunan dan Teknik Pengukuran Tanah,2,23
580,Aplikasi Perangkat Lunak dan Perancangan Interior Gedung,2,41
581,Konstruksi Jalan dan Jembatan,2,41
582,Estimasi Biaya Konstruksi,2,41
583,Konstruksi dan Utilitas Gedung,2,41
584,Produk Kreatif dan Kewirausahaan,2,41
585,Aplikasi Perangkat Lunak dan Perancangan Interior Gedung,2,42
586,Konstruksi Jalan dan Jembatan,2,42
587,Estimasi Biaya Konstruksi,2,42
588,Konstruksi dan Utilitas Gedung,2,42
589,Produk Kreatif dan Kewirausahaan,2,42
590,Gambar Teknik Listrik,2,9
591,Dasar Listrik dan Elektronika,2,9
592,Pekerjaan Dasar Elektromekanik,2,9
593,Gambar Teknik Listrik,2,10
594,Dasar Listrik dan Elektronika,2,10
595,Pekerjaan Dasar Elektromekanik,2,10
596,Piranti Sensor dan Aktuator,2,24
597,Sistem Kontrol Elektromekanik dan Elektronik,2,24
598,Sistem Kontrol Elektropneumatik,2,24
599,Sistem Kontrol Terprogram,2,24
600,Produk Kreatif dan Kewirausahaan,2,24
601,Piranti Sensor dan Aktuator,2,25
602,Sistem Kontrol Elektromekanik dan Elektronik,2,25
603,Sistem Kontrol Elektropneumatik,2,25
604,Sistem Kontrol Terprogram,2,25
605,Produk Kreatif dan Kewirausahaan,2,25
606,Piranti Sensor dan Aktuator,2,48
607,Sistem Kontrol Elektromekanik dan Elektronik,2,48
608,Sistem Kontrol Elektropneumatik,2,48
609,Sistem Kontrol Terprogram,2,48
610,Produk Kreatif dan Kewirausahaan,2,48
611,Piranti Sensor dan Aktuator,2,49
612,Sistem Kontrol Elektromekanik dan Elektronik,2,49
613,Sistem Kontrol Elektropneumatik,2,49
614,Sistem Kontrol Terprogram,2,49
615,Produk Kreatif dan Kewirausahaan,2,49
616,Piranti Sensor dan Aktuator,2,56
617,Sistem Kontrol Elektromekanik dan Elektronik,2,56
618,Sistem Kontrol Elektropneumatik,2,56
619,Sistem Kontrol Terprogram,2,56
620,Produk Kreatif dan Kewirausahaan,2,56
621,Piranti Sensor dan Aktuator,2,57
622,Sistem Kontrol Elektromekanik dan Elektronik,2,57
623,Sistem Kontrol Elektropneumatik,2,57
624,Sistem Kontrol Terprogram,2,57
625,Produk Kreatif dan Kewirausahaan,2,57
626,Gambar Teknik Mesin,2,11
627,Pekerjaan Dasar Teknik Mesin,2,11
628,Dasar Perangcangan Teknik Mesin,2,11
629,Gambar Teknik Mesin,2,12
630,Pekerjaan Dasar Teknik Mesin,2,12
631,Dasar Perangcangan Teknik Mesin,2,12
632,Gambar Teknik Manufaktur,2,53
633,Teknik Pemesinan Bubut,2,53
634,Teknik Pemesinan Frais,2,53
635,Teknik Pemesinan Gerinda,2,53
636,Teknik Pemesinan NC/CNC dan CAM,2,53
637,Produk Kreatif dan Kewirausahaan,2,53
638,Gambar Teknik Manufaktur,2,54
639,Teknik Pemesinan Bubut,2,54
640,Teknik Pemesinan Frais,2,54
